,Unnamed: 0,sent,gpt_extracted_norms
42,42,"The Owners may not enter into any shareholders' agreement, management agreement, voting trust or other arrangement that gives a third party the power to direct and control your affairs without our prior written consent.","Norm 1:
1. Norm type: Prohibition
2. Subject: The Owners
3. Object: Third party
4. Antecedent: Entering into any shareholders' agreement, management agreement, voting trust, or other arrangement
5. Consequent: Giving the third party the power to direct and control the affairs

Norm 2:
1. Norm type: Authorization
2. Subject: Third party
3. Object: The Owners
4. Antecedent: Obtaining prior written consent from the Owners
5. Consequent: Directing and controlling the affairs"
43,43,"Upon the termination of this Agreement for any reason, subject to and without limiting the provisions of Section 12: (i) the Parties shall implement the Transition-Out Services pursuant to Section 10(f); (ii) at the end of the Transition-out Period (or earlier upon CHT's request) Ehave shall terminate and invalidate any Authentication IDs associated with CHT and any of its End Users; (iii) Ehave shall, but not earlier than twenty (20) Business Days after the later of termination or expiration of this Agreement or the Transition-out Period, destroy any copies of the End User Data contained in the Ehave Companion Solution and certify in writing to CHT that it has done so; (iv) CHT shall pay to Ehave the full amount of all Royalties payable hereunder as of the date of termination, if any, whether already invoiced or not (including any amounts due as late payment charges), and any other monies owing to Ehave hereunder; and (v) each Party will return to the other Party, or at the other Party's written request, destroy, in a secure manner all Confidential Information of the other Party which is then in its possession or control and certify in writing that it has done so.","1. Norm type: commitment
   Subject: Parties
   Object: Transition-Out Services
   Antecedent: Termination of the Agreement
   Consequent: Implementation of Transition-Out Services
   
2. Norm type: prohibition
   Subject: Ehave
   Object: CHT
   Antecedent: End of Transition-out Period or CHT's request
   Consequent: Termination and invalidation of Authentication IDs
   
3. Norm type: commitment
   Subject: Ehave
   Object: CHT
   Antecedent: Twenty (20) Business Days after termination or expiration of the Agreement
   Consequent: Destruction of End User Data and certification to CHT
   
4. Norm type: commitment
   Subject: CHT
   Object: Ehave
   Antecedent: Termination of the Agreement
   Consequent: Payment of all Royalties and other monies owing to Ehave
   
5. Norm type: commitment
   Subject: Each Party
   Object: Other Party
   Antecedent: Possession of Confidential Information
   Consequent: Return or destruction of Confidential Information and certification of action taken"
44,44,"In the case of a termination of this Agreement, Sanofi (with respect to the Termination Products in the Licensed Territory), shall be entitled, for a period of [***] after termination, to (i) complete Manufacture of work-in-progress, and (ii) continue conducting Commercialization activities being conducted by Sanofi hereunder as of such termination (if applicable, with respect to the terminated country(ies)), to the extent related to Termination Product in Sanofi's inventory as of such termination (or added to such inventory as a result of the completion described in clause (i)), provided that Sanofi fulfills its payment obligations under this Agreement in connection with such inventory sell-off, provided further that the payment of royalties to RevMed and the sharing of Net Profits and Net Losses under the Profit/Loss Share Agreement shall continue to apply during the sell-off period.","1. Norm type: authorization
2. Subject: Sanofi
3. Object: Termination Products in the Licensed Territory
4. Antecedent: Termination of the Agreement
5. Consequent: Sanofi shall be entitled to complete Manufacture of work-in-progress and continue conducting Commercialization activities for a specified period after termination."
45,45,"This Agreement can be terminated at any time prior to the expiry of the Term, as follows: (a) by the Consultant electing to give the Company not less than 3 months prior notice of such termination;

(b) by the Company electing to give the Consultant 3 months prior notice of such termination along with a termination payment equal to the annual Consulting Fee;","Norm 1:
1. Norm type: commitment
2. Subject: Consultant
3. Object: Company
4. Antecedent: Consultant electing to give the Company not less than 3 months prior notice of termination
5. Consequent: Agreement termination

Norm 2:
1. Norm type: commitment
2. Subject: Company
3. Object: Consultant
4. Antecedent: Company electing to give the Consultant 3 months prior notice of termination along with a termination payment equal to the annual Consulting Fee
5. Consequent: Agreement termination"
46,46,"This Agreement may be terminated subject to the following clauses:<omitted>Subject to Section 1.6, by Vendor (or successor to Vendor), upon written notice to Distributor of a change of control of Vendor and the election by Vendor (or successor to Vendor) to terminate this Agreement, where a ""change of control"" shall mean a change in ownership of the Vendor such that an unaffiliated third party acquires a majority of the voting power of Vendor;","1. Norm type: commitment
2. Subject: Vendor (or successor to Vendor)
3. Object: Distributor
4. Antecedent: change of control of Vendor
5. Consequent: termination of the Agreement"
47,47,"The Monthly Compensation shall be paid for the remaining monthly periods remaining in the Term, as if the termination of this Agreement had not occurred, or twenty four (24) calendar months, which ever period is less, where payment shall be made no later than thirty (30) calendar days after the end of the relevant monthly period.","Norm 1:
1. Norm type: Commitment
2. Subject: The party responsible for paying the Monthly Compensation
3. Object: The party entitled to receive the Monthly Compensation
4. Antecedent: The termination of the Agreement
5. Consequent: Payment of the Monthly Compensation for the remaining monthly periods in the Term

Norm 2:
1. Norm type: Commitment
2. Subject: The party responsible for paying the Monthly Compensation
3. Object: The party entitled to receive the Monthly Compensation
4. Antecedent: The termination of the Agreement
5. Consequent: Payment of the Monthly Compensation for twenty-four (24) calendar months, if less than the remaining monthly periods in the Term

Norm 3:
1. Norm type: Commitment
2. Subject: The party responsible for paying the Monthly Compensation
3. Object: The party entitled to receive the Monthly Compensation
4. Antecedent: The end of the relevant monthly period
5. Consequent: Payment to be made no later than thirty (30) calendar days after the end of the relevant monthly period."
48,48,"At any time after July 1, 2015, PPI shall have the right, exercisable upon sixty (60) days prior written notice to EKR, to terminate the Lease Term and repurchase the Transferred Equipment from EKR, subject to payment by PPI to EKR within five (5) days of such  notice of any principal paid by EKR under the Promissory Note, which if exercised shall result in the termination of the Step-in Right  set forth in Section 17.5.","1. Norm type: authorization
2. Subject: PPI
3. Object: EKR
4. Antecedent: Exercisable upon sixty (60) days prior written notice to EKR
5. Consequent: Termination of the Lease Term and repurchase of the Transferred Equipment from EKR

1. Norm type: commitment
2. Subject: PPI
3. Object: EKR
4. Antecedent: Payment by PPI to EKR within five (5) days of such notice of any principal paid by EKR under the Promissory Note
5. Consequent: Termination of the Step-in Right set forth in Section 17.5."
49,49,"In such event, the provisions of this Agreement that survive during the Wind Down Period will continue to survive for the remainder of the period of time that DIALOG is authorized to Sell Licensed Products to any customer in accordance with the foregoing sentence.","Norm 1:
1. Norm type: Authorization
2. Subject: DIALOG
3. Object: Sell Licensed Products
4. Antecedent: DIALOG is authorized to Sell Licensed Products to any customer
5. Consequent: Provisions of the Agreement that survive during the Wind Down Period will continue to survive for the remainder of the period of time DIALOG is authorized to Sell Licensed Products to any customer. 

Norm 2:
1. Norm type: Commitment
2. Subject: DIALOG
3. Object: Provisions of the Agreement
4. Antecedent: DIALOG is authorized to Sell Licensed Products to any customer
5. Consequent: Provisions of the Agreement that survive during the Wind Down Period will continue to survive for the remainder of the period of time DIALOG is authorized to Sell Licensed Products to any customer."
50,50,"Subject to the terms and conditions of this Agreement, RevMed hereby grants to Sanofi an exclusive option, under the Patent Rights and Know-How claiming or embodied in the [***].","1. Norm type: authorization
2. Subject: RevMed
3. Object: Sanofi
4. Antecedent: Subject to the terms and conditions of this Agreement
5. Consequent: RevMed hereby grants to Sanofi an exclusive option, under the Patent Rights and Know-How claiming or embodied in the [***]"
51,51,"If the proposed Transfer includes assets not related to the operation of the Franchise, we may purchase only the assets related to the operation of the Franchise or may also purchase the other assets","Norm 1:
1. Norm type: Authorization
2. Subject: We
3. Object: the proposed Transfer
4. Antecedent: the proposed Transfer includes assets not related to the operation of the Franchise
5. Consequent: We may purchase only the assets related to the operation of the Franchise or may also purchase the other assets

Norm 2:
1. Norm type: Power
2. Subject: We
3. Object: the proposed Transfer
4. Antecedent: the proposed Transfer includes assets not related to the operation of the Franchise
5. Consequent: We may also purchase the other assets"
52,52,"If Parent enters an agreement to transfer the license granted to it under this Section 3.1 in connection with any sale or transfer of a Parent business, then SpinCo and members of the SpinCo Group shall be made third party beneficiaries under such transfer agreement to enforce breaches of the license","1. Norm type: Authorization
2. Subject: Parent
3. Object: SpinCo and members of the SpinCo Group
4. Antecedent: Parent entering an agreement to transfer the license granted to it under Section 3.1 in connection with any sale or transfer of a Parent business
5. Consequent: SpinCo and members of the SpinCo Group shall be made third party beneficiaries under such transfer agreement to enforce breaches of the license."
53,53,"At all times during the Term, upon request from Bank of America and upon termination of this Agreement for any reason, Supplier shall provide immediately to Bank of America the then-current version of any Work Product in Supplier's possession.","1. Norm type: Authorization
2. Subject: Supplier
3. Object: Bank of America
4. Antecedent: Request from Bank of America or termination of the Agreement
5. Consequent: Supplier providing the then-current version of any Work Product in their possession immediately"
54,54,"In addition to the foregoing, Sanofi shall use reasonable efforts with respect to those activities for which it is responsible hereunder to cooperate with RevMed to achieve an orderly transition of the Development, Manufacturing and Commercialization of Termination Products from Sanofi or its applicable Affiliate to RevMed.","1. Norm type: commitment
2. Subject: Sanofi
3. Object: RevMed
4. Antecedent: Sanofi being responsible for the activities
5. Consequent: Cooperation with RevMed to achieve an orderly transition of the Development, Manufacturing, and Commercialization of Termination Products."
55,55,"At RevMed's reasonable request, for a period not to exceed [***] following the effective date of termination, Sanofi shall provide RevMed with assistance up to a total of [***] with any inquiries and correspondence with Regulatory Authorities relating to any such Termination Product.","Norm 1:
1. Norm type: Authorization
2. Subject: Sanofi
3. Object: RevMed
4. Antecedent: RevMed's reasonable request
5. Consequent: Sanofi shall provide assistance with inquiries and correspondence with Regulatory Authorities

Norm 2:
1. Norm type: Commitment
2. Subject: Sanofi
3. Object: RevMed
4. Antecedent: RevMed's reasonable request
5. Consequent: Sanofi shall provide assistance for a period not to exceed [***] following the effective date of termination."
56,56,"The insurance policies shall be under an occurrence form, but if only a claims-made form is available to a Party, then such Party shall continue to maintain such insurance after the expiration or termination of this Agreement for the longer of (a) a period of [***] following termination or expiration of this Agreement in its entirety, or (b) with respect to a particular Party, [***] by a Party.","Norm 1:
1. Norm type: Commitment
2. Subject: Party
3. Object: Insurance policies
4. Antecedent: Claims-made form is available to a Party
5. Consequent: Party shall continue to maintain insurance after the expiration or termination of the Agreement for a specified period.

Norm 2:
1. Norm type: Authorization
2. Subject: Party
3. Object: Party
4. Antecedent: Claims-made form is available to a Party
5. Consequent: Party shall continue to maintain insurance after the expiration or termination of the Agreement for a specified period."
57,57,"In the event of termination or expiration of this Agreement             pursuant to Section 5.0 above, IBM shall have an option, which             shall expire [*] days after such termination or expiration, to             purchase from MSL, at a reasonable price agreeable to the Parties,             all assets used by MSL to perform the manufacturing and fulfillment             functions<omitted>outlined in Attachment 1: Statement of Work, to the extent owned or             transferable by MSL, and required by IBM to perform such functions.","Norm 1:
1. Norm type: Authorization
2. Subject: IBM
3. Object: MSL
4. Antecedent: Termination or expiration of the Agreement
5. Consequent: IBM has the option to purchase assets from MSL

Norm 2:
1. Norm type: Commitment
2. Subject: MSL
3. Object: IBM
4. Antecedent: Termination or expiration of the Agreement
5. Consequent: MSL commits to selling assets to IBM at a reasonable price

Norm 3:
1. Norm type: Commitment
2. Subject: IBM
3. Object: MSL
4. Antecedent: IBM requiring assets to perform functions
5. Consequent: MSL commits to selling assets to IBM at a reasonable price"
58,58,"If AbbVie decides not to prepare, file, prosecute, or maintain a Product-Specific Patent or Joint Patent in a country or other jurisdiction in the Territory, AbbVie shall provide reasonable prior written notice to Harpoon of such intention (which notice shall, in any event, be given no later than [***] prior to the next deadline for any action that may be taken with respect to such Product-Specific Patent or Joint Patent in such country or other jurisdiction), and Harpoon shall thereupon have the option, in its sole discretion, to assume the control and direction of the preparation, filing, prosecution, and maintenance of such Product-Specific Patent or Joint Patent at its sole cost and expense in such country or other jurisdiction.","1. Norm type: Authorization
2. Subject: AbbVie
3. Object: Harpoon
4. Antecedent: AbbVie decides not to prepare, file, prosecute, or maintain a Product-Specific Patent or Joint Patent in a country or other jurisdiction in the Territory
5. Consequent: Harpoon shall have the option to assume the control and direction of the preparation, filing, prosecution, and maintenance of such Patent at its sole cost and expense in such country or other jurisdiction. 

2. Norm type: Commitment
2. Subject: Harpoon
3. Object: AbbVie
4. Antecedent: AbbVie decides not to prepare, file, prosecute, or maintain a Product-Specific Patent or Joint Patent in a country or other jurisdiction in the Territory
5. Consequent: AbbVie shall provide reasonable prior written notice to Harpoon of such intention."
59,59,"ENERGOUS may, at any time after the third anniversary of the Effective Date, terminate this Agreement with or without cause upon not less than one hundred and eighty (180) days prior written notice to DIALOG.","1. Norm type: Authorization
2. Subject: ENERGOUS
3. Object: DIALOG
4. Antecedent: After the third anniversary of the Effective Date
5. Consequent: Terminate the Agreement with or without cause upon not less than one hundred and eighty (180) days prior written notice"
60,60,"M&I may, at any time, withdraw any of the Services (other than the Core Services) upon providing ninety (90) days' prior written notice to Customer.","Norm 1:
1. Norm type: Authorization
2. Subject: M&I
3. Object: Customer
4. Antecedent: M&I providing ninety (90) days' prior written notice to Customer
5. Consequent: M&I withdrawing any of the Services (other than the Core Services)

Norm 2:
1. Norm type: Commitment
2. Subject: M&I
3. Object: Customer
4. Antecedent: M&I providing ninety (90) days' prior written notice to Customer
5. Consequent: M&I ensuring the withdrawal of any of the Services (other than the Core Services)"
61,61,"Bank of America may terminate this Agreement, an Order and/or any Customization Schedule(s) for its convenience, without cause, at any time without further charge or expense upon at least forty-five (45) calendar days prior written notice to Supplier.","Norm 1:
1. Norm type: Power
2. Subject: Bank of America
3. Object: Supplier
4. Antecedent: Bank of America may terminate this Agreement, an Order and/or any Customization Schedule(s) for its convenience, without cause
5. Consequent: termination of the Agreement, Order, or Customization Schedule(s)

Norm 2:
1. Norm type: Commitment
2. Subject: Bank of America
3. Object: Supplier
4. Antecedent: at least forty-five (45) calendar days prior written notice
5. Consequent: termination of the Agreement, Order, or Customization Schedule(s) without further charge or expense"
62,62,"During the Term, if Exact desires to grant an exclusive commercial license to a Third Party solely to Promote or sell the Product in the OB/Gyn Field in the Territory (the ""OB/Gyn Commercial Rights""), Exact shall first notify Pfizer of such intent (a ""OB/Gyn Commercial Rights Transfer Notice"") and Pfizer shall have thirty (30) days thereafter to notify Exact of its desire to obtain the OB/Gyn Commercial Rights that are the subject of the OB/Gyn Commercial Rights Transfer Notice.","Norm 1:
1. Norm type: Authorization
2. Subject: Exact
3. Object: Third Party
4. Antecedent: Exact desires to grant an exclusive commercial license to a Third Party solely to Promote or sell the Product in the OB/Gyn Field in the Territory
5. Consequent: Exact shall first notify Pfizer of such intent

Norm 2:
1. Norm type: Commitment
2. Subject: Pfizer
3. Object: Exact
4. Antecedent: Exact notifies Pfizer of the intent to grant an exclusive commercial license to a Third Party
5. Consequent: Pfizer shall have thirty (30) days to notify Exact of its desire to obtain the OB/Gyn Commercial Rights that are the subject of the OB/Gyn Commercial Rights Transfer Notice."
63,63,"Notwithstanding the foregoing, either Party may, without consent of the other Party, assign this Agreement and its rights and obligations hereunder in whole or in part to an Affiliate of such Party, or in whole to its successor in interest in connection with the sale of all or substantially all of its stock or its assets to which this Agreement relates, or in connection with a merger, acquisition or similar transaction.","Norm 1:
1. Norm type: Authorization
2. Subject: Either Party
3. Object: the other Party
4. Antecedent: None specified
5. Consequent: Assigning the Agreement and its rights and obligations to an Affiliate, successor in interest, or in connection with a merger, acquisition, or similar transaction.

Norm 2:
1. Norm type: Power
2. Subject: Either Party
3. Object: None specified
4. Antecedent: None specified
5. Consequent: Assigning the Agreement and its rights and obligations to an Affiliate, successor in interest, or in connection with a merger, acquisition, or similar transaction."
64,64,"At any time between the Agreement Date and July 1, 2015, EKR shall have the right, exercisable upon sixty (60) days prior written  notice to PPI, to terminate the Lease Term and sell the Transferred Equipment back to PPI, subject to payment by PPI to EKR within  five (5) days of such notice of $[**] in cash, which if exercised shall result in (i) an offset against the unpaid balance of principal and  interest under the Promissory Note pursuant to Section 3.20(f) below; and (ii) the termination of the Step-in Right described in  Section 17.5.","Norm 1:
1. Norm type: Authorization
2. Subject: EKR
3. Object: PPI
4. Antecedent: Exercisable upon sixty (60) days prior written notice to PPI
5. Consequent: Terminate the Lease Term and sell the Transferred Equipment back to PPI

Norm 2:
1. Norm type: Commitment
2. Subject: PPI
3. Object: EKR
4. Antecedent: Payment by PPI to EKR within five (5) days of such notice of $[**] in cash
5. Consequent: Offset against the unpaid balance of principal and interest under the Promissory Note pursuant to Section 3.20(f) and termination of the Step-in Right described in Section 17.5."
65,65,Microsoft may terminate this Agreement at any time without cause upon [*] ([*]) days prior written notice.,"1. Norm type: Power
2. Subject: Microsoft
3. Object: Agreement
4. Antecedent: [*] days prior written notice
5. Consequent: Termination of the Agreement"
66,66,"If you or any of your Principal Owners wishes to Transfer any Interest, we will have a right of first refusal to purchase that Interest as follows.","Norm 1:
1. Norm type: Authorization
2. Subject: Principal Owners
3. Object: We
4. Antecedent: If Principal Owners wish to Transfer any Interest
5. Consequent: We will have a right of first refusal to purchase that Interest

Norm 2:
1. Norm type: Commitment
2. Subject: We
3. Object: Principal Owners
4. Antecedent: If Principal Owners wish to Transfer any Interest
5. Consequent: We commit to purchasing that Interest as per the right of first refusal."
67,67,"Franchisee  further agrees that the purchase  price shall be further  reduced by ten percent (10%) per month for each subsequent  month  Franchisee  fails to act diligently to consummate this  transaction.  In the event that Franchisee cannot deliver clear title to all of the purchased assets as aforesaid, or in the event there are other unresolved  issues, at Pretzel Time's option,  the losing of the sale shall be accomplished through an escrow.","1. Norm type: commitment
2. Subject: Franchisee
3. Object: Pretzel Time
4. Antecedent: Franchisee fails to act diligently to consummate the transaction
5. Consequent: Purchase price shall be reduced by ten percent (10%) per month for each subsequent month

2. Norm type: authorization
2. Subject: Pretzel Time
3. Object: Franchisee
4. Antecedent: Franchisee cannot deliver clear title to all purchased assets or there are other unresolved issues
5. Consequent: Losing of the sale shall be accomplished through an escrow."
68,68,"Upon termination of this Agreement for whatever reason whatsoever, the Parties shall have the  following rights and obligations:<omitted>(b) Aura shall have the right but not the obligation to purchase any or all Products then in Aura's possession at the invoiced price(s). In the  event that Aura does not elect to purchase said Products, Aura, at its cost, shall return all such non-purchased Products to Zanotti.","1. Norm type: authorization
2. Subject: Aura
3. Object: Zanotti
4. Antecedent: Upon termination of the Agreement
5. Consequent: Aura has the right but not the obligation to purchase any or all Products then in Aura's possession at the invoiced price(s)"
69,69,"If at the time of such termination, Sanofi or its Affiliates are Commercializing a particular Termination Product, then, at RevMed's request, the Parties shall negotiate in good faith a transition services agreement to cover detailing and promotion of such Termination Product (in the same manner and no more extensive than the then-current detailing and promotional efforts of Sanofi) by Sanofi or its Affiliate or contract sales force pursuant to a transition plan agreed by the Parties for a period not to exceed [***], and RevMed shall pay Sanofi a commercially reasonable amount to conduct such activities (which amount would include a commercially reasonable per-detail rate).","1. Norm type: commitment
2. Subject: Sanofi or its Affiliates
3. Object: RevMed
4. Antecedent: Termination of the contract
5. Consequent: Negotiation and execution of a transition services agreement for detailing and promotion of the Termination Product by Sanofi or its Affiliate or contract sales force for a specified period, with payment from RevMed for these activities."
70,70,"Upon the termination or expiration of the Franchise, we will have the option, but not the obligation, exercisable for thirty (30) days upon written notice to you, to purchase at fair market value all of the assets of the Franchise, including all approved equipment, fixtures, furniture and signs and all supplies, materials, and other items imprinted with any Mark, and to take an assignment of the lease for the Premises and any other lease or concession agreement necessary for the operation of the Franchise","1. Norm type: authorization
2. Subject: we
3. Object: you
4. Antecedent: termination or expiration of the Franchise
5. Consequent: purchase all assets of the Franchise, including equipment, fixtures, furniture, signs, supplies, materials, and other items imprinted with any Mark, and take an assignment of the lease for the Premises and any other lease or concession agreement necessary for the operation of the Franchise

2. Norm type: commitment
2. Subject: we
3. Object: you
4. Antecedent: termination or expiration of the Franchise
5. Consequent: purchase all assets of the Franchise, including equipment, fixtures, furniture, signs, supplies, materials, and other items imprinted with any Mark, and take an assignment of the lease for the Premises and any other lease or concession agreement necessary for the operation of the Franchise

3. Norm type: power
2. Subject: we
3. Object: you
4. Antecedent: termination or expiration of the Franchise
5. Consequent: cause a change in the existing norms by purchasing all assets of the Franchise, including equipment, fixtures, furniture, signs, supplies, materials, and other items imprinted with any Mark, and taking an assignment of the lease for the Premises and any other lease or concession agreement necessary for the operation of the Franchise"
71,71,"Upon termination of this Agreement for any reason except as set forth in Section 17.4 below (and, if applicable, in respect of that country in  respect of which termination occurs):<omitted>(b) the following provisions of this Agreement shall continue in full force and effect: Article 1 (""Definitions""), Section 3.20(k),  Section 3.20(l), Article 9 (""Representations and Warranties""), Article 10 (""Liability, Insurance and Indemnities"") (excluding  Section 10.6 (""Insurance"")), Article 11 (""Confidentiality, Press Releases and Publications""), Article 13 (""Infringement of  Third Party Rights""), Section 16.4 (""Effect of Termination""), Article 17 (""Consequences of Termination""), Article 18 (""Force  Majeure""), Article 19 (""Notices""), Article 20 (""Assignment and Change of Control"") and Article 21 (""General Provisions"");     (c) EKR shall return to PPI all PPI IP in its possession;     (d) EKR shall assign to PPI free of charge any domain name registrations it has registered pursuant to Section 8.5; and

  (e) Except in the event of termination of this Agreement by EKR pursuant to Section 16.1(a), EKR shall promptly transfer to PPI  or its nominee, each and every Marketing Authorization (to the extent not held by PPI) relating to the Product, together  with all communications with the relevant Regulatory Authorities, and all notes and record thereof.","1. Norm type: authorization
2. Subject: EKR
3. Object: PPI
4. Antecedent: Termination of the Agreement by EKR pursuant to Section 16.1(a)
5. Consequent: Transfer of Marketing Authorization relating to the Product to PPI or its nominee, along with all relevant communications and records.

1. Norm type: commitment
2. Subject: EKR
3. Object: PPI
4. Antecedent: Termination of the Agreement for any reason except as set forth in Section 17.4
5. Consequent: Return of PPI IP in EKR's possession and assignment of domain name registrations to PPI."
72,72,"During the Term, if Exact (i) enters a formal process authorized or directed by its board of directors or CEO to seek and enter into an arrangement or (ii) intends to agree to a term sheet or seeks to sign a letter of intent or similar arrangement to grant an exclusive commercial license to a Third Party solely to promote or sell the Product outside the Territory (""Ex-US Commercial Rights""), Exact shall first notify Pfizer of such intent (a ""Ex-US Commercial Rights Transfer Notice"") and Pfizer shall have thirty (30) days thereafter to notify Exact of its desire to obtain the Ex-US Commercial Rights that are the subject of the Ex-US Commercial Rights Transfer Notice.","1. Norm type: authorization
2. Subject: Exact
3. Object: Pfizer
4. Antecedent: Exact enters a formal process authorized or directed by its board of directors or CEO to seek and enter into an arrangement or intends to agree to a term sheet or seeks to sign a letter of intent or similar arrangement to grant an exclusive commercial license to a Third Party solely to promote or sell the Product outside the Territory
5. Consequent: Exact shall first notify Pfizer of such intent (a ""Ex-US Commercial Rights Transfer Notice"") and Pfizer shall have thirty (30) days thereafter to notify Exact of its desire to obtain the Ex-US Commercial Rights that are the subject of the Ex-US Commercial Rights Transfer Notice."
73,73,"In addition, Metavante agrees to provide to Customer, at Customer's expense, all necessary assistance to facilitate the orderly transition of Services to Customer or its designee (""Termination Assistance""). As part of the Termination Assistance, Metavante shall assist Customer to develop a plan for the transition of all Services then being performed by Metavante under this Agreement, from Metavante to Customer or Customer's designee, on a reasonable schedule developed jointly by Metavante and Customer.","Norm 1:
1. Norm type: Commitment
2. Subject: Metavante
3. Object: Customer
4. Antecedent: Termination Assistance is required
5. Consequent: Metavante agrees to provide necessary assistance for the transition of Services to Customer or its designee

Norm 2:
1. Norm type: Authorization
2. Subject: Metavante
3. Object: Customer
4. Antecedent: Termination Assistance is required
5. Consequent: Metavante shall assist Customer in developing a transition plan for Services on a reasonable schedule

Norm 3:
1. Norm type: Commitment
2. Subject: Customer
3. Object: Metavante
4. Antecedent: Termination Assistance is required
5. Consequent: Customer agrees to work jointly with Metavante to develop a transition plan for Services on a reasonable schedule"
74,74,"DIALOG will have the right to terminate this Agreement immediately upon the issuance of written notice to ENERGOUS (A) if ENERGOUS undergoes a Change of Control involving a competitor of DIALOG, or (B) if ENERGOUS acquires, whether directly through a sale of assets or through a Change of Control transaction, any competitor of DIALOG (as reasonably determined by DIALOG). ENERGOUS will provide DIALOG with notice of any such Change of Control or acquisition within [***] after the closing thereof and DIALOG's right to terminate the Agreement will expire [***] after receipt of such notice.","Norm 1:
1. Norm type: Power
2. Subject: DIALOG
3. Object: ENERGOUS
4. Antecedent: ENERGOUS undergoes a Change of Control involving a competitor of DIALOG or acquires a competitor of DIALOG
5. Consequent: DIALOG will have the right to terminate the Agreement immediately upon the issuance of written notice to ENERGOUS

Norm 2:
1. Norm type: Commitment
2. Subject: ENERGOUS
3. Object: DIALOG
4. Antecedent: ENERGOUS undergoes a Change of Control involving a competitor of DIALOG or acquires a competitor of DIALOG
5. Consequent: ENERGOUS will provide DIALOG with notice of any such Change of Control or acquisition within [***] after the closing thereof and DIALOG's right to terminate the Agreement will expire [***] after receipt of such notice."
75,75,"In the case of a termination of this Agreement, Sanofi (with respect to the Termination Products in the Licensed Territory), shall be entitled, for a period of [***] after termination, to (i) complete Manufacture of work-in-progress, and (ii) continue conducting Commercialization activities being conducted by Sanofi hereunder as of such termination (if applicable, with respect to the terminated country(ies)), to the extent related to such Termination Product in Sanofi's inventory as of such termination (or added to such inventory as a result of the completion described in clause (i)), provided that Sanofi fulfills its payment obligations under this Agreement in connection with such inventory sell-off, provided further that the sharing of Net Profits and Net Losses under the Profit/Loss Share Agreement shall continue to apply during the sell-off period.","1. Norm type: authorization
2. Subject: Sanofi
3. Object: Termination Products in the Licensed Territory
4. Antecedent: Termination of the Agreement
5. Consequent: Sanofi shall be entitled to complete Manufacture of work-in-progress and continue conducting Commercialization activities for a specified period after termination, related to the Termination Product in Sanofi's inventory."
76,76,Licensee shall notify Bioeq in writing within [***] ([***]) days after entry by Licensee into a definitive agreement which would result in a Competitor Change of Control.,"Norm 1:
1. Norm type: Commitment
2. Subject: Licensee
3. Object: Bioeq
4. Antecedent: Entry by Licensee into a definitive agreement
5. Consequent: Competitor Change of Control

Norm 2:
1. Norm type: Authorization
2. Subject: Bioeq
3. Object: Licensee
4. Antecedent: Entry by Licensee into a definitive agreement
5. Consequent: Competitor Change of Control"
77,77,"During the term of this Agreement, if MSL decides to sell a substantial       portion of its assets or operations outside the ordinary course of its       business, or to merge or transfer ownership of MSL to a third Party, MSL       will immediately notify IBM.","Norm 1:
1. Norm type: Commitment
2. Subject: MSL
3. Object: IBM
4. Antecedent: MSL decides to sell a substantial portion of its assets or operations outside the ordinary course of its business, or to merge or transfer ownership of MSL to a third Party
5. Consequent: MSL will immediately notify IBM

Norm 2:
1. Norm type: Authorization
2. Subject: IBM
3. Object: MSL
4. Antecedent: MSL decides to sell a substantial portion of its assets or operations outside the ordinary course of its business, or to merge or transfer ownership of MSL to a third Party
5. Consequent: MSL will immediately notify IBM"
78,78,"Subject to subsections (i)-(iii) of this Section 5.1(a), each Party agrees that prior to the date that is six (6) months after the Effective Time (""Delivery Date""), it will deliver possession of any Tangible/Intangible Information of the other Party that is in its possession or control to the other Party, without retaining any copies.","Norm 1:
1. Norm type: Commitment
2. Subject: Each Party
3. Object: the other Party
4. Antecedent: prior to the date that is six (6) months after the Effective Time (""Delivery Date"")
5. Consequent: deliver possession of any Tangible/Intangible Information of the other Party that is in its possession or control to the other Party, without retaining any copies

Norm 2:
1. Norm type: Prohibition
2. Subject: Each Party
3. Object: the other Party
4. Antecedent: prior to the date that is six (6) months after the Effective Time (""Delivery Date"")
5. Consequent: retaining any copies of Tangible/Intangible Information of the other Party that is in its possession or control"
79,79,RevMed shall pay Sanofi such royalties until the earlier of (x) expiration of the Post-Termination Royalty Term therefor and (y) a Change of Control of Sanofi.,"Norm 1:
1. Norm type: Commitment
2. Subject: RevMed
3. Object: Sanofi
4. Antecedent: Expiration of the Post-Termination Royalty Term or a Change of Control of Sanofi
5. Consequent: Payment of royalties by RevMed to Sanofi

Norm 2:
1. Norm type: Authorization
2. Subject: Sanofi
3. Object: RevMed
4. Antecedent: Expiration of the Post-Termination Royalty Term or a Change of Control of Sanofi
5. Consequent: Receipt of royalties by Sanofi from RevMed"
